Id,PostId,VoteTypeId,CreationDate,UserId
130,50,2,2010-11-30T00:00:00.000,
131,49,2,2010-11-30T00:00:00.000,
132,51,2,2010-11-30T00:00:00.000,
133,14,5,2010-11-30T00:00:00.000,426
134,6,10,2010-11-30T00:00:00.000,
135,53,2,2010-11-30T00:00:00.000,
136,5,2,2010-12-01T00:00:00.000,
137,37,2,2010-12-01T00:00:00.000,
138,38,2,2010-12-01T00:00:00.000,
139,53,2,2010-12-01T00:00:00.000,
142,42,2,2010-12-01T00:00:00.000,
143,54,2,2010-12-01T00:00:00.000,
144,56,2,2010-12-01T00:00:00.000,
145,57,2,2010-12-01T00:00:00.000,
147,57,2,2010-12-01T00:00:00.000,
148,59,2,2010-12-01T00:00:00.000,
149,58,2,2010-12-01T00:00:00.000,
151,61,2,2010-12-02T00:00:00.000,
152,57,2,2010-12-02T00:00:00.000,
153,57,2,2010-12-02T00:00:00.000,
154,57,5,2010-12-02T00:00:00.000,294
155,16,2,2010-12-02T00:00:00.000,
156,18,2,2010-12-02T00:00:00.000,
157,53,2,2010-12-02T00:00:00.000,
158,53,1,2010-12-02T00:00:00.000,
160,11,2,2010-12-02T00:00:00.000,
161,61,2,2010-12-02T00:00:00.000,
162,16,2,2010-12-02T00:00:00.000,
163,32,2,2010-12-02T00:00:00.000,
165,63,2,2010-12-03T00:00:00.000,
166,65,2,2010-12-03T00:00:00.000,
167,65,2,2010-12-03T00:00:00.000,
168,65,2,2010-12-04T00:00:00.000,
169,61,1,2010-12-04T00:00:00.000,
172,59,2,2010-12-05T00:00:00.000,
173,18,2,2010-12-05T00:00:00.000,
174,16,2,2010-12-05T00:00:00.000,
176,66,3,2010-12-05T00:00:00.000,
177,68,2,2010-12-06T00:00:00.000,
178,61,2,2010-12-06T00:00:00.000,
179,65,1,2010-12-06T00:00:00.000,
180,66,3,2010-12-06T00:00:00.000,
181,65,2,2010-12-06T00:00:00.000,
182,64,2,2010-12-06T00:00:00.000,
183,69,2,2010-12-06T00:00:00.000,
184,69,2,2010-12-06T00:00:00.000,
185,69,1,2010-12-06T00:00:00.000,
186,66,2,2010-12-06T00:00:00.000,
187,68,2,2010-12-06T00:00:00.000,
188,69,2,2010-12-06T00:00:00.000,
189,65,2,2010-12-06T00:00:00.000,
190,57,2,2010-12-06T00:00:00.000,
191,61,2,2010-12-06T00:00:00.000,
192,66,2,2010-12-06T00:00:00.000,
193,66,2,2010-12-07T00:00:00.000,
198,70,2,2010-12-07T00:00:00.000,
199,73,2,2010-12-07T00:00:00.000,
200,72,2,2010-12-07T00:00:00.000,
201,74,2,2010-12-07T00:00:00.000,
202,73,2,2010-12-07T00:00:00.000,
203,71,2,2010-12-07T00:00:00.000,
204,73,2,2010-12-07T00:00:00.000,
205,71,2,2010-12-07T00:00:00.000,
206,74,2,2010-12-08T00:00:00.000,
207,75,2,2010-12-08T00:00:00.000,
209,75,2,2010-12-08T00:00:00.000,
210,76,2,2010-12-08T00:00:00.000,
212,75,2,2010-12-09T00:00:00.000,
214,67,2,2010-12-09T00:00:00.000,
215,76,2,2010-12-09T00:00:00.000,
216,76,1,2010-12-11T00:00:00.000,
217,79,2,2010-12-11T00:00:00.000,
218,31,2,2010-12-11T00:00:00.000,
219,33,2,2010-12-11T00:00:00.000,
220,13,2,2010-12-11T00:00:00.000,
221,59,2,2010-12-12T00:00:00.000,
222,80,2,2010-12-13T00:00:00.000,
223,68,2,2010-12-14T00:00:00.000,
224,18,2,2010-12-14T00:00:00.000,
225,42,2,2010-12-15T00:00:00.000,
226,81,2,2010-12-15T00:00:00.000,
227,81,2,2010-12-15T00:00:00.000,
228,58,2,2010-12-16T00:00:00.000,
229,58,2,2010-12-16T00:00:00.000,
230,82,2,2010-12-16T00:00:00.000,
231,81,2,2010-12-16T00:00:00.000,
232,86,2,2010-12-17T00:00:00.000,
233,87,2,2010-12-17T00:00:00.000,
